leg,probability
bb_knockdowns_over_0_5,0.849
bb_knockdowns_over_1_5,0.849
bb_knockdowns_over_2_5,0.751
bb_knockdowns_over_3_5,0.678
bb_knockdowns_over_4_5,0.554
bb_red_phsl_over_40_5,0.139
bb_red_phsl_over_67_5,0.023
bb_red_phsl_over_94_5,0.004
bb_red_phsl_over_121_5,0.0
bb_red_phsl_over_148_5,0.0
bb_red_phsl_over_175_5,0.0
bb_red_phsl_over_202_5,0.0
bb_blue_phsl_over_40_5,0.033
bb_blue_phsl_over_67_5,0.0
bb_blue_phsl_over_94_5,0.0
bb_blue_phsl_over_121_5,0.0
bb_blue_phsl_over_148_5,0.0
bb_blue_phsl_over_175_5,0.0
bb_blue_phsl_over_202_5,0.0
bb_red_tsl_over_40_5,0.596
bb_red_tsl_over_67_5,0.441
bb_red_tsl_over_94_5,0.333
bb_red_tsl_over_121_5,0.218
bb_red_tsl_over_148_5,0.12
bb_red_tsl_over_175_5,0.058
bb_red_tsl_over_202_5,0.02
bb_red_tsl_over_229_5,0.0
bb_red_tsl_over_256_5,0.0
bb_blue_tsl_over_40_5,0.322
bb_blue_tsl_over_67_5,0.152
bb_blue_tsl_over_94_5,0.041
bb_blue_tsl_over_121_5,0.004
bb_blue_tsl_over_148_5,0.001
bb_blue_tsl_over_175_5,0.0
bb_blue_tsl_over_202_5,0.0
bb_blue_tsl_over_229_5,0.0
bb_blue_tsl_over_256_5,0.0
bb_red_win,0.944
bb_blue_win,0.041
bb_draw,0.016
bb_red_win_or_draw,0.96
bb_blue_win_or_draw,0.057
bb_red_ko,0.659
bb_blue_ko,0.01
bb_red_decision,0.285
bb_blue_decision,0.031
