,bb_knockdowns_over_0_5,bb_knockdowns_over_1_5,bb_knockdowns_over_2_5,bb_knockdowns_over_3_5,bb_knockdowns_over_4_5,bb_red_phsl_over_40_5,bb_red_phsl_over_67_5,bb_red_phsl_over_94_5,bb_red_phsl_over_121_5,bb_red_phsl_over_148_5,bb_red_phsl_over_175_5,bb_red_phsl_over_202_5,bb_blue_phsl_over_40_5,bb_blue_phsl_over_67_5,bb_blue_phsl_over_94_5,bb_blue_phsl_over_121_5,bb_blue_phsl_over_148_5,bb_blue_phsl_over_175_5,bb_blue_phsl_over_202_5,bb_red_tsl_over_40_5,bb_red_tsl_over_67_5,bb_red_tsl_over_94_5,bb_red_tsl_over_121_5,bb_red_tsl_over_148_5,bb_red_tsl_over_175_5,bb_red_tsl_over_202_5,bb_red_tsl_over_229_5,bb_red_tsl_over_256_5,bb_blue_tsl_over_40_5,bb_blue_tsl_over_67_5,bb_blue_tsl_over_94_5,bb_blue_tsl_over_121_5,bb_blue_tsl_over_148_5,bb_blue_tsl_over_175_5,bb_blue_tsl_over_202_5,bb_blue_tsl_over_229_5,bb_blue_tsl_over_256_5,bb_red_win,bb_blue_win,bb_draw,bb_red_win_or_draw,bb_blue_win_or_draw,bb_red_ko,bb_blue_ko,bb_red_decision,bb_blue_decision
bb_knockdowns_over_0_5,0.9999999999999999,0.9999999999999999,0.7179077220638121,0.587834788201495,0.4733886025871002,0.02250887727735847,0.03587557022337722,-0.022662814936104933,0.014622107886647358,,,,-0.12178074423482464,,,,,,,-0.19013711024469024,-0.2026224822762292,-0.2116349268153515,-0.1597245475392744,-0.045789968286293066,-0.05168116329406093,-0.04651614390338748,0.007307089064216174,-0.022662814936105093,-0.25327520889739774,-0.1588001918942678,-0.10993019785379099,0.02068914080172615,0.014622107886647312,,,,,0.16493993884927335,-0.16451956583748029,-0.05599716455332745,0.16451956583748029,-0.1649399388492735,0.2852904413953152,-0.10010345071604593,-0.2163402505214467,-0.13362582831250616
bb_knockdowns_over_1_5,0.9999999999999999,0.9999999999999999,0.7179077220638121,0.587834788201495,0.4733886025871002,0.02250887727735847,0.03587557022337722,-0.022662814936104933,0.014622107886647358,,,,-0.12178074423482464,,,,,,,-0.19013711024469024,-0.2026224822762292,-0.2116349268153515,-0.1597245475392744,-0.045789968286293066,-0.05168116329406093,-0.04651614390338748,0.007307089064216174,-0.022662814936105093,-0.25327520889739774,-0.1588001918942678,-0.10993019785379099,0.02068914080172615,0.014622107886647312,,,,,0.16493993884927335,-0.16451956583748029,-0.05599716455332745,0.16451956583748029,-0.1649399388492735,0.2852904413953152,-0.10010345071604593,-0.2163402505214467,-0.13362582831250616
bb_knockdowns_over_2_5,0.7179077220638121,0.7179077220638121,1.0,0.8188166391519052,0.6594003491510281,0.12341207803669951,0.06945955422041801,-0.004861089830864096,0.020367670436267773,,,,-0.0624535050713656,,,,,,,0.10262040547284658,0.052052024334616045,0.0007215309335124501,0.004866941267381894,0.05480742673808744,0.012559342110978441,-0.0021971336873928804,0.0276971800801934,-0.004861089830864646,-0.04842484166076533,-0.04235236229060497,-0.0452409800176866,0.028818663131592825,0.020367670436267804,,,,,0.0759907851234391,-0.09016738932569396,-0.008298230228426793,0.09016738932569394,-0.07599078512343921,0.06236128025426171,-0.06378569234048909,-0.02665933742877507,-0.06898435874318495
bb_knockdowns_over_3_5,0.5878347882014949,0.5878347882014949,0.8188166391519052,1.0,0.8053089270804354,0.14884849106276385,0.06571062158816866,0.0054943804763567475,0.024874519474059054,,,,-0.07158695799429846,,,,,,,0.1937979289633239,0.12265299640811096,0.06527737099672963,0.04411182298589442,0.05984969219494885,0.041598738560421164,0.0241095937973186,0.0413243366044419,0.0054943804763566894,-0.0017964884317212483,-0.026448678531081838,-0.0441563735622735,-0.010871909172332541,-0.04024202365174984,,,,,0.08115896944456889,-0.09671032413907646,-0.008362566280303983,0.09671032413907694,-0.08115896944456899,0.007765283275469614,-0.07216953774943026,0.03371675512440114,-0.07220090381731445
bb_knockdowns_over_4_5,0.4733886025871002,0.4733886025871002,0.6594003491510281,0.8053089270804354,1.0,0.19083558267319933,0.06971834625105505,0.01697324509643307,0.030888170536292434,,,,-0.03704788077965712,,,,,,,0.2328486313312892,0.21288396275596655,0.1546239316641512,0.10444063214623338,0.1037569788247636,0.06716707027373092,0.05372976211469773,0.057973349643291455,0.01697324509643328,0.06723047535857449,0.018147521943593817,-0.004364893634076258,-0.0010746971118366809,-0.032407260890536624,,,,,0.06283055295120196,-0.08842845581359145,0.010038114728324285,0.08842845581359175,-0.06283055295120206,-0.05643929136912423,-0.05367549301830521,0.09211115024264806,-0.07188498270753423
bb_red_phsl_over_40_5,0.022508877277358466,0.022508877277358466,0.12341207803669951,0.14884849106276385,0.19083558267319936,0.9999999999999999,0.3771517332228427,0.1348380676100439,0.07777082886886089,,,,-0.00508373168325107,,,,,,,0.36280627825634304,0.4569198024712302,0.5185484782171711,0.5286189365021087,0.4878391221398151,0.340107222672904,0.2488385850255187,0.20638297452333335,0.1348380676100441,0.2838300602380132,-0.015159720684286363,-0.025133143568292167,-0.018211690265512996,-0.012871162819788149,,,,,0.06044494841143984,-0.027039555448875173,-0.0610158184678217,0.027039555448875232,-0.06044494841143979,-0.3780779500443698,0.005490413855849099,0.43084136684008467,-0.03241702925975452
bb_red_phsl_over_67_5,0.03587557022337722,0.03587557022337722,0.06945955422041802,0.06571062158816866,0.06971834625105505,0.3771517332228426,1.0,0.3575167650903344,0.20620567802855563,,,,-0.02354145342886384,,,,,,,0.13683301666850917,0.17450703656772656,0.21617479474068535,0.2687829788007715,0.31939821418966896,0.2563106415008243,0.16868016861874008,0.14714546613860657,0.11356127884650338,0.08879918662322138,0.0025213885721672236,0.010006450680772471,-0.006868570548555816,-0.004854381366076574,,,,,0.03701536844542832,-0.0283439497282401,-0.023012221689149275,0.028343949728240114,-0.0370153684454283,-0.16646093700292872,-0.011920626180887071,0.1950653819757772,-0.025558896428015277
bb_red_phsl_over_94_5,-0.022662814936104933,-0.022662814936104933,-0.004861089830864095,0.0054943804763567475,0.016973245096433068,0.1348380676100439,0.3575167650903345,1.0,0.5767720514489779,,,,-0.0084164642754122,,,,,,,0.048920097476876846,0.062389191199193963,0.07728611330975713,0.10180582799217738,0.15142939460411142,0.1644987821146323,-0.007836371350551813,-0.004605613017566599,-0.0030090270812437214,0.043890934862728666,-0.020733089774711593,-0.009973563537065994,-0.00245562912331444,-0.0017355227225144868,,,,,0.013233614785236426,-0.010133437216723445,-0.008227255055846313,0.010133437216723452,-0.013233614785236419,-0.07996363265661972,-0.004261823710041856,0.0913553068697209,-0.009137733970222928
bb_red_phsl_over_121_5,0.014622107886647357,0.014622107886647357,0.020367670436267773,0.024874519474059054,0.030888170536292434,0.07777082886886089,0.2062056780285556,0.5767720514489779,1.0,,,,-0.004854381366076562,,,,,,,0.028215744978822378,0.035984341796201864,0.044576470122186664,0.05871875626051058,0.08734024257549051,0.1457513831423563,-0.004519799979773812,-0.002656388868322027,-0.0017355227225144955,-0.020712325533373117,-0.011958266722236264,-0.00575247270153034,-0.0014163382470519159,-0.0010010010010009932,,,,,0.007632779147766362,-0.0058446833717190816,-0.004745250776354446,0.005844683371719085,-0.007632779147766362,-0.046120788448671436,-0.0024581008041547657,0.05269118775399984,-0.005270389567600532
bb_red_phsl_over_148_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
