leg,probability
bb_knockdowns_over_0_5,0.85
bb_knockdowns_over_1_5,0.846
bb_knockdowns_over_2_5,0.74
bb_knockdowns_over_3_5,0.659
bb_knockdowns_over_4_5,0.546
bb_red_phsl_over_40_5,0.151
bb_red_phsl_over_67_5,0.024
bb_red_phsl_over_94_5,0.001
bb_red_phsl_over_121_5,0.001
bb_red_phsl_over_148_5,0.0
bb_red_phsl_over_175_5,0.0
bb_red_phsl_over_202_5,0.0
bb_blue_phsl_over_40_5,0.024
bb_blue_phsl_over_67_5,0.002
bb_blue_phsl_over_94_5,0.0
bb_blue_phsl_over_121_5,0.0
bb_blue_phsl_over_148_5,0.0
bb_blue_phsl_over_175_5,0.0
bb_blue_phsl_over_202_5,0.0
bb_red_tsl_over_40_5,0.595
bb_red_tsl_over_67_5,0.46
bb_red_tsl_over_94_5,0.354
bb_red_tsl_over_121_5,0.249
bb_red_tsl_over_148_5,0.131
bb_red_tsl_over_175_5,0.058
bb_red_tsl_over_202_5,0.025
bb_red_tsl_over_229_5,0.004
bb_red_tsl_over_256_5,0.001
bb_blue_tsl_over_40_5,0.327
bb_blue_tsl_over_67_5,0.146
bb_blue_tsl_over_94_5,0.03
bb_blue_tsl_over_121_5,0.001
bb_blue_tsl_over_148_5,0.001
bb_blue_tsl_over_175_5,0.0
bb_blue_tsl_over_202_5,0.0
bb_blue_tsl_over_229_5,0.0
bb_blue_tsl_over_256_5,0.0
bb_red_win,0.951
bb_blue_win,0.031
bb_draw,0.019
bb_red_win_or_draw,0.97
bb_blue_win_or_draw,0.05
bb_red_ko,0.642
bb_blue_ko,0.014
bb_red_decision,0.309
bb_blue_decision,0.017
